nombre_modulacion,modulacion,M,EbN0_dB,Ps_simulada,Pe_simulada,Ps_teorica,Pe_teorica
2-FSK,M-FSK,2,0.0,0.15854407,0.15854407,0.15865525393145707,0.15865525393145707
2-FSK,M-FSK,2,1.0,0.13089867,0.13089867,0.13092729675552447,0.13092729675552447
2-FSK,M-FSK,2,2.0,0.1040968,0.1040968,0.10402863708538863,0.10402863708538863
2-FSK,M-FSK,2,3.0,0.07908053,0.07908053,0.07889587198172442,0.07889587198172442
2-FSK,M-FSK,2,4.0,0.05659807,0.05659807,0.05649530174936167,0.05649530174936167
2-FSK,M-FSK,2,5.0,0.03774364,0.03774364,0.03767898814746341,0.03767898814746341
2-FSK,M-FSK,2,6.0,0.02304493,0.02304493,0.023007138877866033,0.023007138877866033
2-FSK,M-FSK,2,7.0,0.01264561,0.01264561,0.012587033122144623,0.012587033122144623
2-FSK,M-FSK,2,8.0,0.00598441,0.00598441,0.0060043864001635685,0.0060043864001635685
2-FSK,M-FSK,2,9.0,0.00243474,0.00243474,0.002413310419633864,0.002413310419633864
2-FSK,M-FSK,2,10.0,0.00079128,0.00079128,0.0007827011290012744,0.0007827011290012744
4-FSK,M-FSK,4,0.0,0.17764004,0.11842098,0.23594881057542766,0.1572992070502851
4-FSK,M-FSK,4,1.0,0.13216421,0.08817393,0.1688458559296244,0.11256390395308292
4-FSK,M-FSK,4,2.0,0.0914941,0.06102586,0.11251838507677794,0.07501225671785196
4-FSK,M-FSK,4,3.0,0.05809396,0.03876136,0.06863522268325602,0.045756815122170676
4-FSK,M-FSK,4,4.0,0.03296014,0.02199972,0.037502454122212696,0.02500163608147513
4-FSK,M-FSK,4,5.0,0.01619477,0.01082422,0.017861601443335984,0.011907734295557323
4-FSK,M-FSK,4,6.0,0.00665017,0.00443696,0.007164872342798421,0.004776581561865614
4-FSK,M-FSK,4,7.0,0.00215487,0.00143754,0.0023180244461353332,0.001545349630756889
4-FSK,M-FSK,4,8.0,0.00053058,0.00035637,0.0005727233222279795,0.0003818155481519863
4-FSK,M-FSK,4,9.0,9.702e-05,6.378e-05,0.00010088168525885274,6.725445683923516e-05
4-FSK,M-FSK,4,10.0,1.086e-05,6.95e-06,1.1616324646566146e-05,7.744216431044098e-06
