Nombre modulación,Modulación,M,EbN0_dB,Ps,Pe
2-FSK,M-FSK,2,0,0.15854407,0.15854407
2-FSK,M-FSK,2,1,0.13089867,0.13089867
2-FSK,M-FSK,2,2,0.1040968,0.1040968
2-FSK,M-FSK,2,3,0.07908053,0.07908053
2-FSK,M-FSK,2,4,0.05659807,0.05659807
2-FSK,M-FSK,2,5,0.03774364,0.03774364
2-FSK,M-FSK,2,6,0.02304493,0.02304493
2-FSK,M-FSK,2,7,0.01264561,0.01264561
2-FSK,M-FSK,2,8,0.00598441,0.00598441
2-FSK,M-FSK,2,9,0.00243474,0.00243474
2-FSK,M-FSK,2,10,0.00079128,0.00079128
4-FSK,M-FSK,4,0,0.17764004,0.11842098
4-FSK,M-FSK,4,1,0.13216421,0.08817393
4-FSK,M-FSK,4,2,0.0914941,0.06102586
4-FSK,M-FSK,4,3,0.05809396,0.03876136
4-FSK,M-FSK,4,4,0.03296014,0.02199972
4-FSK,M-FSK,4,5,0.01619477,0.01082422
4-FSK,M-FSK,4,6,0.00665017,0.00443696
4-FSK,M-FSK,4,7,0.00215487,0.00143754
4-FSK,M-FSK,4,8,0.00053058,0.00035637
4-FSK,M-FSK,4,9,9.702e-05,6.378e-05
4-FSK,M-FSK,4,10,1.086e-05,6.95e-06
8-FSK,M-FSK,8,0,0.17531226,0.1002525
8-FSK,M-FSK,8,1,0.11863399,0.06783955
8-FSK,M-FSK,8,2,0.07227038,0.04133164
8-FSK,M-FSK,8,3,0.03836528,0.02194578
8-FSK,M-FSK,8,4,0.0172225,0.00985127
8-FSK,M-FSK,8,5,0.00626564,0.00357748
8-FSK,M-FSK,8,6,0.00173319,0.00099279
8-FSK,M-FSK,8,7,0.0003445,0.00019693
8-FSK,M-FSK,8,8,4.478e-05,2.629e-05
8-FSK,M-FSK,8,9,5.09e-06,2.37e-06
8-FSK,M-FSK,8,10,0.0,0.0
16-FSK,M-FSK,16,0,0.16899444,0.09013882
16-FSK,M-FSK,16,1,0.10454036,0.05577523
16-FSK,M-FSK,16,2,0.05632243,0.03005436
16-FSK,M-FSK,16,3,0.02528715,0.01347489
16-FSK,M-FSK,16,4,0.00902861,0.00478536
16-FSK,M-FSK,16,5,0.00241473,0.00127487
16-FSK,M-FSK,16,6,0.00042745,0.00022678
16-FSK,M-FSK,16,7,5.631e-05,2.968e-05
16-FSK,M-FSK,16,8,3.39e-06,1.36e-06
16-FSK,M-FSK,16,9,0.0,0.0
16-FSK,M-FSK,16,10,0.0,0.0
4-QAM,M-QAM,4,0,0.15104273,0.07864783
4-QAM,M-QAM,4,1,0.10939288,0.05629953
4-QAM,M-QAM,4,2,0.07370557,0.03756282
4-QAM,M-QAM,4,3,0.04527974,0.02289787
4-QAM,M-QAM,4,4,0.02485869,0.01250008
4-QAM,M-QAM,4,5,0.0118277,0.00592996
4-QAM,M-QAM,4,6,0.00471005,0.00235774
4-QAM,M-QAM,4,7,0.00150793,0.00075465
4-QAM,M-QAM,4,8,0.00036706,0.00018353
4-QAM,M-QAM,4,9,6.751e-05,3.375e-05
4-QAM,M-QAM,4,10,7.46e-06,3.73e-06
16-QAM,M-QAM,16,0,0.48882297,0.14441138
16-QAM,M-QAM,16,1,0.42610717,0.12193316
16-QAM,M-QAM,16,2,0.35926211,0.10005116
16-QAM,M-QAM,16,3,0.29196924,0.07935447
16-QAM,M-QAM,16,4,0.22575314,0.06003951
16-QAM,M-QAM,16,5,0.16442823,0.04294677
16-QAM,M-QAM,16,6,0.11099343,0.02857136
16-QAM,M-QAM,16,7,0.06830923,0.0173811
16-QAM,M-QAM,16,8,0.03742593,0.00944028
16-QAM,M-QAM,16,9,0.01777021,0.00445816
16-QAM,M-QAM,16,10,0.00716548,0.00179358
