INFORME DEL SISTEMA DE COMUNICACIÓN DIGITAL
========================================================================
Archivo de entrada: a01input/test.txt
Archivo de salida: a02output/mensaje_fsk4.txt
Cantidad de caracteres: 36305
Modulación: M-FSK, M=4, etiquetado=binario
Canal: AWGN=True, atenuación=False, respuesta impulsiva=False

========================================================================
1) Métricas de fuente
========================================================================
                      Métrica   Valor       Unidad
        Entropía de la fuente  4.6685 bits/símbolo
      Longitud mínima Huffman  3.0000         bits
    Longitud promedio Huffman  4.7033 bits/símbolo
Eficiencia del código Huffman 99.2600            %
   Longitud código fijo ASCII  8.0000 bits/símbolo

========================================================================
2) Tabla Huffman
========================================================================
Caracter  Probabilidad  Probabilidad (%)  Código Huffman  Longitud
     ' '      0.168296             16.83             111         3
     'e'      0.101832             10.18             010         3
     'a'      0.080870              8.09            1101         4
     'o'      0.067539              6.75            1010         4
     's'      0.052940              5.29            0110         4
     'r'      0.049442              4.94            0011         4
     'n'      0.048396              4.84            0001         4
     'i'      0.039361              3.94           11000         5
     't'      0.037405              3.74           10111         5
     'l'      0.033053              3.31           10011         5
     'd'      0.032833              3.28           10010         5
     'u'      0.031759              3.18           10000         5
     'c'      0.027269              2.73           01110         5
     'm'      0.023661              2.37           00100         5
     'p'      0.016830              1.68          100011         6
     '.'      0.013249              1.32          001011         6
     'g'      0.011155              1.12          000011         6
     'h'      0.010550              1.05          000000         6
     'b'      0.010219              1.02         1100110         7
     'q'      0.009255              0.93         1011011         7
     ','      0.008814              0.88         1011010         7
    '\n'      0.008732              0.87         1011001         7
     'v'      0.007905              0.79         1000100         7
     'y'      0.007134              0.71         0111101         7
     'í'      0.005592              0.56         0000101         7
     'f'      0.005316              0.53         0000010         7
     'á'      0.005096              0.51        11001110         8
     'E'      0.005013              0.50        11001011         8
     'é'      0.004875              0.49        11001010         8
     'A'      0.004104              0.41        10110000         8
     '"'      0.003416              0.34        01111001         8
     'L'      0.003085              0.31        00101011         8
     'P'      0.003057              0.31        00101010         8
     'T'      0.002920              0.29        00101000         8
     'ó'      0.002754              0.28        00001000         8
     'j'      0.002672              0.27        00000111         8
     'x'      0.002617              0.26       110011111         9
     '!'      0.002341              0.23       110010010         9
     'z'      0.002231              0.22       110010000         9
     '1'      0.002093              0.21       100010111         9
     '¡'      0.001983              0.20       011111111         9
     '2'      0.001983              0.20       100010101         9
     '?'      0.001983              0.20       100010100         9
     '¿'      0.001928              0.19       011111101         9
     'C'      0.001901              0.19       011111100         9
     'S'      0.001901              0.19       011111011         9
     'H'      0.001818              0.18       011111000         9
     '0'      0.001818              0.18       011111001         9
     'M'      0.001570              0.16       011110000         9
     'O'      0.001405              0.14       000010011         9
     '3'      0.001322              0.13       000001100         9
     'N'      0.001295              0.13      1100111101        10
     '/'      0.001267              0.13      1100111100        10
     'I'      0.001239              0.12      1100100111        10
     'R'      0.001157              0.12      1100100011        10
     '4'      0.001129              0.11      1011000111        10
     'ú'      0.001074              0.11      1011000101        10
     '5'      0.001047              0.10      1011000100        10
     'k'      0.000992              0.10      1000101100        10
     '•'      0.000964              0.10      0111111100        10
     'w'      0.000937              0.09      0111110101        10
     'D'      0.000937              0.09      0111110100        10
     'B'      0.000799              0.08      0111100010        10
     'ñ'      0.000716              0.07      0010100101        10
     '·'      0.000689              0.07      0010100100        10
     'Y'      0.000689              0.07      0000100101        10
     'F'      0.000689              0.07      0000100100        10
     'V'      0.000689              0.07      0000011011        10
     '6'      0.000606              0.06     11001001101        11
     'G'      0.000606              0.06     11001001100        11
     '-'      0.000578              0.06     11001000101        11
     '9'      0.000551              0.06     10110001101        11
     '8'      0.000523              0.05     10110001100        11
     'U'      0.000496              0.05     10001011010        11
     ':'      0.000496              0.05     01111111011        11
     '7'      0.000468              0.05     01111111010        11
     '_'      0.000413              0.04     00101001111        11
     'Q'      0.000358              0.04     00101001100        11
     '*'      0.000303              0.03     00000110100        11
     '('      0.000275              0.03    100010110111        12
     ')'      0.000275              0.03    110010001000        12
     'W'      0.000220              0.02    011110001100        12
     "'"      0.000193              0.02    001010011011        12
     'J'      0.000193              0.02    001010011100        12
     ']'      0.000138              0.01   1100100010011        13
     '['      0.000138              0.01   1100100010010        13
     'K'      0.000110              0.01   0010100111011        13
     '🇳'      0.000083              0.01   0010100110101        13
     'Ú'      0.000083              0.01   0000011010111        13
     'É'      0.000083              0.01   0000011010110        13
     'Á'      0.000083              0.01   0000011010101        13
     '🇵'      0.000083              0.01   0010100111010        13
     'X'      0.000083              0.01   0000011010100        13
     '°'      0.000083              0.01   0010100110100        13
     'с'      0.000055              0.01  01111000110100        14
     '+'      0.000055              0.01  01111000110101        14
     'द'      0.000028              0.00 100010110110100        15
     'к'      0.000028              0.00 011110001111010        15
     'ê'      0.000028              0.00 100010110110110        15
     '्'      0.000028              0.00 100010110110011        15
     'न'      0.000028              0.00 100010110110010        15
     'ि'      0.000028              0.00 100010110110001        15
     'ह'      0.000028              0.00 100010110110000        15
     'ç'      0.000028              0.00 011110001111111        15
     'ệ'      0.000028              0.00 011110001111110        15
     'ế'      0.000028              0.00 011110001111101        15
     'й'      0.000028              0.00 011110001111100        15
     'и'      0.000028              0.00 011110001111011        15
     'ी'      0.000028              0.00 100010110110101        15
     '體'      0.000028              0.00 011110001110010        15
     'у'      0.000028              0.00 011110001111001        15
     'Р'      0.000028              0.00 011110001111000        15
     '語'      0.000028              0.00 011110001110111        15
     '本'      0.000028              0.00 011110001110110        15
     '日'      0.000028              0.00 011110001110101        15
     '文'      0.000028              0.00 011110001110100        15
     '中'      0.000028              0.00 011110001110011        15
     '~'      0.000028              0.00 011110001101100        15
     '繁'      0.000028              0.00 011110001110001        15
     'ü'      0.000028              0.00 011110001110000        15
     'Ó'      0.000028              0.00 011110001101111        15
     'Í'      0.000028              0.00 011110001101110        15
     '%'      0.000028              0.00 011110001101101        15
     '©'      0.000028              0.00 100010110110111        15

========================================================================
3) Resultado de la cadena
========================================================================
Modulación  M Etiquetado    N0  AWGN  Atenuación habilitada  Atenuación aplicada  Codificación canal  Bits fuente  Bits modulador  Símbolos TX  Es estimada  Eb estimada  Errores símbolo  Pe símbolo  Errores bit   Pe bit   Decodificación
     M-FSK  4    binario 0.157  True                  False                  1.0               False       170752          170752        85376          1.0          0.5             1275    0.014934         1703 0.009974 Con advertencias

========================================================================
5) Verificación final
========================================================================
===== RESUMEN DE RECEPCIÓN =====
Estado decodificación: CON ADVERTENCIAS
Archivo de salida: a02output/mensaje_fsk4.txt
Errores de símbolo: 1275
Probabilidad de error de símbolo: 0.014934
Errores de bit: 1703
Probabilidad de error de bit: 0.009974
Errores de bit a la salida del demodulador: 1703
Probabilidad de error de bit a la salida del demodulador: 0.009974
Detalle: El texto reconstruido no coincide con el texto original
